index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
911,🚵,activities,person mountain biking,mountainbiker(in),persona en bicicleta de montaña,personne en vtt,マウンテンバイクに乗る人,산악 자전거 타는 사람,pessoa fazendo mountain bike,ciclista di mountain bike,دوچرخه کوهستان,orang bersepeda gunung,骑山地车,человек на горном велосипеде,dağ bisikletçisi,bnadem rakeb f pikala f jbel,شخص يركب دراجة في الجبال,
912,🤸,activities,person cartwheeling,rad schlagende person,persona haciendo voltereta lateral,personne faisant la roue,側転する人,옆돌기하는 사람,pessoa fazendo estrela,persona che fa la ruota,حرکت چرخ و فلک,orang melakukan gerakan meroda,侧手翻,акробатический трюк,perende atan kişi,bnadem ki dir rweda,شخص يؤدي حركة العجلة,
913,🤼,activities,people wrestling,ringer(in),personas luchando,personnes faisant de la lutte,レスリングする人,레슬링하는 사람,pessoas lutando,persone che fanno la lotta,کُشتی گیران,orang bergulat,摔跤选手,борцы,güreşen kişiler,bnadem ki dabzou,مصارعون,
914,🤽,activities,person playing water polo,wasserballspieler(in),persona jugando al waterpolo,personne jouant au water-polo,水球をする人,수구하는 사람,pessoa jogando polo aquático,persona che gioca a pallanuoto,واترپلو,orang bermain polo air,水球,водное поло,su topu,bnadem ki l3eb kora fl ma,شخص يلعب كرة ماء,
915,🤾,activities,person playing handball,handballspieler(in),persona jugando al balonmano,personne jouant au handball,ハンドボールをする人,핸드볼하는 사람,handebol,persona che gioca a pallamano,هندبال,orang bermain bola tangan,手球,гандбол,hentbol,bnadem ki l3eb lhond,شخص يلعب كرة يد,
916,🤹,activities,person juggling,jongleur(in),persona haciendo malabares,personne qui jongle,ジャグリングをする人,저글링하는 사람,malabarista,persona che fa giocoleria,ژانگولربازی,orang melempar,抛接杂耍,жонглер,jonglör,bnadem ki jonglé,شخص يؤدي ألعابا بهلوانية,
917,🧘,activities,person in lotus position,person im lotossitz,persona en posición de loto,personne dans la posture du lotus,ヨガのポーズをする人,가부좌한 사람,pessoa na posição de lótus,persona in posizione del loto,فرد در حالت خلسه,orang dalam posisi teratai,盘腿的人,человек в позе лотоса,lotus pozisyonundaki kişi,bnadem mrebbe3,شخص متربع,
918,🕛,time,twelve o’clock,ziffernblatt 12.00 uhr,12 en punto,midi/minuit,12時,열두 시,12 horas,ore dodici,ساعت دوازده,jam dua belas tepat,十二点,двенадцать часов,saat 12,tnach,الساعة الثانية عشرة,
919,🕧,time,twelve-thirty,12.30 uhr,doce y media,midi/minuit et demie,12時半,열두 시 반,doze e meia,ore dodici e mezza,ساعت دوازده و نیم,jam setengah satu,十二点半,полпервого,on iki buçuk,tnach w ness,الثانية عشرة والنصف,
920,🕐,time,one o’clock,1.00 uhr,1 en punto,une heure,1時,한 시,1 hora,ore una,ساعت یک,jam satu tepat,一点,час,saat 1,we7da,الساعة الواحدة,
921,🕜,time,one-thirty,1.30 uhr,una y media,une heure et demie,1時半,한 시 반,uma e meia,ore una e mezza,ساعت یک و نیم,jam setengah dua,一点半,полвторого,bir buçuk,we7da w ness,الواحدة والنصف,
922,🕑,time,two o’clock,2.00 uhr,2 en punto,deux heures,2時,두 시,2 horas,ore due,ساعت دو,jam dua tepat,两点,два часа,saat 2,jouj,الساعة الثانية,
923,🕝,time,two-thirty,2.30 uhr,dos y media,deux heures et demie,2時半,두 시 반,duas e meia,ore due e mezza,ساعت دو و نیم,jam setengah tiga,两点半,полтретьего,iki buçuk,jouj w ness,الثانية والنصف,
924,🕒,time,three o’clock,3.00 uhr,3 en punto,trois heures,3時,세 시,3 horas,ore tre,ساعت سه,jam tiga tepat,三点,три часа,saat 3,tlata,الساعة الثالثة,
925,🕞,time,three-thirty,3.30 uhr,tres y media,trois heures et demie,3時半,세 시 반,três e meia,ore tre e mezza,ساعت سه و نیم,jam setengah empat,三点半,полчетвертого,üç buçuk,tlata w ness,الثالثة والنصف,
926,🕓,time,four o’clock,4.00 uhr,4 en punto,quatre heures,4時,네 시,4 horas,ore quattro,ساعت چهار,jam empat tepat,四点,четыре часа,saat 4,reb3a,الساعة الرابعة,
927,🕟,time,four-thirty,4.30 uhr,cuatro y media,quatre heures et demie,4時半,네 시 반,quatro e meia,ore quattro e mezza,ساعت چهار و نیم,jam setengah lima,四点半,полпятого,dört buçuk,reb3a w ness,الرابعة والنصف,
928,🕔,time,five o’clock,5.00 uhr,5 en punto,cinq heures,5時,다섯 시,5 horas,ore cinque,ساعت پنج,jam lima tepat,五点,пять часов,saat 5,khmsa,الساعة الخامسة,
929,🕠,time,five-thirty,5.30 uhr,cinco y media,cinq heures et demie,5時半,다섯 시 반,cinco e meia,ore cinque e mezza,ساعت پنج و نیم,jam setengah enam,五点半,полшестого,beş buçuk,khmsa w ness,الخامسة والنصف,
930,🕕,time,six o’clock,6.00 uhr,6 en punto,six heures,6時,여섯 시,6 horas,ore sei,ساعت شش,jam enam tepat,六点,шесть часов,saat 6,setta,الساعة السادسة,
931,🕡,time,six-thirty,6.30 uhr,seis y media,six heures et demie,6時半,여섯 시 반,seis e meia,ore sei e mezza,ساعت شش و نیم,jam setengah tujuh,六点半,полседьмого,altı buçuk,setta w ness,السادسة والنصف,
932,🕖,time,seven o’clock,7.00 uhr,7 en punto,sept heures,7時,일곱 시,7 horas,ore sette,ساعت هفت,jam tujuh tepat,七点,семь часов,saat 7,seb3a,الساعة السابعة,
933,🕢,time,seven-thirty,7.30 uhr,siete y media,sept heures et demie,7時半,일곱 시 반,sete e meia,ore sette e mezza,ساعت هفت و نیم,jam setengah delapan,七点半,полвосьмого,yedi buçuk,seb3a w ness,السابعة والنصف,
934,🕗,time,eight o’clock,8.00 uhr,8 en punto,huit heures,8時,여덟 시,8 horas,ore otto,ساعت هشت,jam delapan tepat,八点,восемь часов,saat 8,tmniya w toulout,الساعة الثامنة,
935,🕣,time,eight-thirty,8.30 uhr,ocho y media,huit heures et demie,8時半,여덟 시 반,oito e meia,ore otto e mezza,ساعت هشت و نیم,jam setengah sembilan,八点半,полдевятого,sekiz buçuk,tmniya w toulout,الثامنة والنصف,
936,🕘,time,nine o’clock,9.00 uhr,9 en punto,neuf heures,9時,아홉 시,9 horas,ore nove,ساعت نه,jam sembilan tepat,九点,девять часов,saat 9,ts3oud,الساعة التاسعة,
937,🕤,time,nine-thirty,9.30 uhr,nueve y media,neuf heures et demie,9時半,아홉 시 반,nove e meia,ore nove e mezza,ساعت نه و نیم,jam setengah sepuluh,九点半,полдесятого,dokuz buçuk,ts3oud w ness,التاسعة والنصف,
938,🕙,time,ten o’clock,10.00 uhr,10 en punto,dix heures,10時,열 시,10 horas,ore dieci,ساعت ده,jam sepuluh tepat,十点,десять часов,saat 10,3chra,الساعة العاشرة,
939,🕥,time,ten-thirty,10.30 uhr,diez y media,dix heures et demie,10時半,열 시 반,dez e meia,ore dieci e mezza,ساعت ده و نیم,jam setengah sebelas,十点半,пол одиннадцатого,on buçuk,3chra w ness,العاشرة والنصف,
940,🕚,time,eleven o’clock,11.00 uhr,11 en punto,onze heures,11時,열한 시,11 horas,ore undici,ساعت یازده,jam sebelas tepat,十一点,одиннадцать часов,saat 11,7dach,الساعة الحادية عشرة,
941,🕦,time,eleven-thirty,11.30 uhr,once y media,onze heures et demie,11時半,열한 시 반,onze e meia,ore undici e mezza,ساعت یازده و نیم,jam setengah dua belas,十一点半,полдвенадцатого,on bir buçuk,7dach ou ness,الحادية عشر ونصف,
942,🇦🇫,flags,afghanistan,flagge afghanistan,bandera afganistán,drapeau afghanistan,旗 アフガニスタン,깃발 아프가니스탄,bandeira afeganistão,bandiera afghanistan,پرچم افغانستان,bendera afganistan,阿富汗,флаг афганистан,bayrak afganistan,Afghanistan,علم أفغانستان,
943,🇦🇱,flags,albania,flagge albanien,bandera albania,drapeau albanie,旗 アルバニア,깃발 알바니아,bandeira albânia,bandiera albania,پرچم آلبانی,bendera albania,阿尔巴尼亚,флаг албания,bayrak arnavutluk,Albania,علم ألبانيا,
944,🇩🇿,flags,algeria,flagge algerien,bandera argelia,drapeau algérie,旗 アルジェリア,깃발 알제리,bandeira argélia,bandiera algeria,پرچم الجزایر,bendera aljazair,阿尔及利亚,флаг алжир,bayrak cezayir,Jazair,علم الجزائر,
945,🇦🇸,flags,american samoa,flagge amerikanisch-samoa,bandera samoa americana,drapeau samoa américaines,旗 米領サモア,깃발 아메리칸 사모아,bandeira samoa americana,bandiera samoa americane,پرچم ساموآی امریکا,bendera samoa amerika,美属萨摩亚,флаг американское самоа,bayrak amerikan samoası,Samoa dial Mirikane,علم ساموا الأمريكية,
946,🇦🇩,flags,andorra,flagge andorra,bandera andorra,drapeau andorre,旗 アンドラ,깃발 안도라,bandeira andorra,bandiera andorra,پرچم آندورا,bendera andorra,安道尔,флаг андорра,bayrak andorra,Andorra,علم أندورا,
947,🇦🇴,flags,angola,flagge angola,bandera angola,drapeau angola,旗 アンゴラ,깃발 앙골라,bandeira angola,bandiera angola,پرچم آنگولا,bendera angola,安哥拉,флаг ангола,bayrak angola,Angola,علم أنغولا,
948,🇦🇮,flags,anguilla,flagge anguilla,bandera anguila,drapeau anguilla,旗 アンギラ,깃발 앵귈라,bandeira anguila,bandiera anguilla,پرچم آنگویلا,bendera anguilla,安圭拉,флаг ангилья,bayrak anguilla,Anguilla,علم أنغويلا,
949,🇦🇶,flags,antarctica,flagge antarktis,bandera antártida,drapeau antarctique,旗 南極,깃발 남극 대륙,bandeira antártida,bandiera antartide,پرچم جنوبگان,bendera antarktika,南极洲,флаг антарктида,bayrak antarktika,Antarctica,علم أنتاركتيكا,
950,🇦🇬,flags,antigua & barbuda,flagge antigua und barbuda,bandera antigua y barbuda,drapeau antigua-et-barbuda,旗 アンティグア・バーブーダ,깃발 앤티가 바부다,bandeira antígua e barbuda,bandiera antigua e barbuda,پرچم آنتیگوا و باربودا,bendera antigua dan barbuda,安提瓜和巴布达,флаг антигуа и барбуда,bayrak antigua ve barbuda,Antigua w Barbuda,علم أنتيغوا وبربودا,
951,🇦🇷,flags,argentina,flagge argentinien,bandera argentina,drapeau argentine,旗 アルゼンチン,깃발 아르헨티나,bandeira argentina,bandiera argentina,پرچم آرژانتین,bendera argentina,阿根廷,флаг аргентина,bayrak arjantin,L'Argentine,علم الأرجنتين,
952,🇦🇲,flags,armenia,flagge armenien,bandera armenia,drapeau arménie,旗 アルメニア,깃발 아르메니아,bandeira armênia,bandiera armenia,پرچم ارمنستان,bendera armenia,亚美尼亚,флаг армения,bayrak ermenistan,Armenia,علم أرمينيا,
953,🇦🇼,flags,aruba,flagge aruba,bandera aruba,drapeau aruba,旗 アルバ,깃발 아루바,bandeira aruba,bandiera aruba,پرچم آروبا,bendera aruba,阿鲁巴,флаг аруба,bayrak aruba,Arouba,علم أروبا,
954,🇦🇨,flags,ascension island,flagge ascension,bandera isla de la ascensión,drapeau île de l’ascension,旗 アセンション島,깃발 어센션섬,bandeira ilha de ascensão,bandiera isola ascensione,پرچم جزایر آسنسیون,bendera pulau ascension,阿森松岛,флаг о в вознесения,bayrak ascension adası,Jazirat Ascension,علم جزيرة أسينشيون,
955,🇦🇺,flags,australia,flagge australien,bandera australia,drapeau australie,旗 オーストラリア,깃발 오스트레일리아,bandeira austrália,bandiera australia,پرچم استرالیا,bendera australia,澳大利亚,флаг австралия,bayrak avustralya,Australia,علم أستراليا,
956,🇦🇹,flags,austria,flagge österreich,bandera austria,drapeau autriche,旗 オーストリア,깃발 오스트리아,bandeira áustria,bandiera austria,پرچم اتریش,bendera austria,奥地利,флаг австрия,bayrak avusturya,L'autriche,علم النمسا,
957,🇦🇿,flags,azerbaijan,flagge aserbaidschan,bandera azerbaiyán,drapeau azerbaïdjan,旗 アゼルバイジャン,깃발 아제르바이잔,bandeira azerbaijão,bandiera azerbaigian,پرچم جمهوری آذربایجان,bendera azerbaijan,阿塞拜疆,флаг азербайджан,bayrak azerbaycan,Azerbaijan,علم أذربيجان,
958,🇧🇸,flags,bahamas,flagge bahamas,bandera bahamas,drapeau bahamas,旗 バハマ,깃발 바하마,bandeira bahamas,bandiera bahamas,پرچم باهاما,bendera bahama,巴哈马,флаг багамы,bayrak bahamalar,L'bahamas,علم جزر البهاما,
959,🇧🇭,flags,bahrain,flagge bahrain,bandera baréin,drapeau bahreïn,旗 バーレーン,깃발 바레인,bandeira barein,bandiera bahrein,پرچم بحرین,bendera bahrain,巴林,флаг бахрейн,bayrak bahreyn,Bahrain,علم البحرين,
960,🇧🇩,flags,bangladesh,flagge bangladesch,bandera bangladés,drapeau bangladesh,旗 バングラデシュ,깃발 방글라데시,bandeira bangladesh,bandiera bangladesh,پرچم بنگلادش,bendera bangladesh,孟加拉国,флаг бангладеш,bayrak bangladeş,Bangladesh,علم بنغلاديش,
961,🇧🇧,flags,barbados,flagge barbados,bandera barbados,drapeau barbade,旗 バルバドス,깃발 바베이도스,bandeira barbados,bandiera barbados,پرچم باربادوس,bendera barbados,巴巴多斯,флаг барбадос,bayrak barbados,Barbados,علم بربادوس,
962,🇧🇾,flags,belarus,flagge belarus,bandera bielorrusia,drapeau biélorussie,旗 ベラルーシ,깃발 벨라루스,bandeira bielorrússia,bandiera bielorussia,پرچم بلاروس,bendera belarus,白俄罗斯,флаг беларусь,bayrak belarus,Belarussia,علم بيلاروس,
963,🇧🇪,flags,belgium,flagge belgien,bandera bélgica,drapeau belgique,旗 ベルギー,깃발 벨기에,bandeira bélgica,bandiera belgio,پرچم بلژیک,bendera belgia,比利时,флаг бельгия,bayrak belçika,Belgika,علم بلجيكا,
964,🇧🇿,flags,belize,flagge belize,bandera belice,drapeau belize,旗 ベリーズ,깃발 벨리즈,bandeira belize,bandiera belize,پرچم بلیز,bendera belize,伯利兹,флаг белиз,bayrak belize,Belize,علم بليز,
965,🇧🇯,flags,benin,flagge benin,bandera benín,drapeau bénin,旗 ベナン,깃발 베냉,bandeira benin,bandiera benin,پرچم بنین,bendera benin,贝宁,флаг бенин,bayrak benin,Benin,علم بنين,
966,🇧🇲,flags,bermuda,flagge bermuda,bandera bermudas,drapeau bermudes,旗 バミューダ,깃발 버뮤다,bandeira bermudas,bandiera bermuda,پرچم برمودا,bendera bermuda,百慕大,флаг бермудские о ва,bayrak bermuda,Bermuda,علم برمودا,
967,🇧🇹,flags,bhutan,flagge bhutan,bandera bután,drapeau bhoutan,旗 ブータン,깃발 부탄,bandeira butão,bandiera bhutan,پرچم بوتان,bendera bhutan,不丹,флаг бутан,bayrak butan,Bhutan,علم بوتان,
968,🇧🇴,flags,bolivia,flagge bolivien,bandera bolivia,drapeau bolivie,旗 ボリビア,깃발 볼리비아,bandeira bolívia,bandiera bolivia,پرچم بولیوی,bendera bolivia,玻利维亚,флаг боливия,bayrak bolivya,Bolivia,علم بوليفيا,
969,🇧🇦,flags,bosnia & herzegovina,flagge bosnien und herzegowina,bandera bosnia y herzegovina,drapeau bosnie-herzégovine,旗 ボスニア・ヘルツェゴビナ,깃발 보스니아 헤르체고비나,bandeira bósnia e herzegovina,bandiera bosnia ed erzegovina,پرچم بوسنی و هرزگوین,bendera bosnia dan herzegovina,波斯尼亚和黑塞哥维那,флаг босния и герцеговина,bayrak bosna-hersek,Bosna wl Hersek,علم البوسنة والهرسك,
970,🇧🇼,flags,botswana,flagge botsuana,bandera botsuana,drapeau botswana,旗 ボツワナ,깃발 보츠와나,bandeira botsuana,bandiera botswana,پرچم بوتسوانا,bendera botswana,博茨瓦纳,флаг ботсвана,bayrak botsvana,Botswana,علم بوتسوانا,
971,🇧🇻,flags,bouvet island,flagge bouvetinsel,bandera isla bouvet,drapeau île bouvet,旗 ブーベ島,깃발 부베섬,bandeira ilha bouvet,bandiera isola bouvet,پرچم جزیرهٔ بووه,bendera pulau bouvet,布韦岛,флаг о в буве,bayrak bouvet adası,Jazirat Bouvet,علم جزيرة بوفيه,
972,🇧🇷,flags,brazil,flagge brasilien,bandera brasil,drapeau brésil,旗 ブラジル,깃발 브라질,bandeira brasil,bandiera brasile,پرچم برزیل,bendera brasil,巴西,флаг бразилия,bayrak brezilya,Brazil,علم البرازيل,
973,🇮🇴,flags,british indian ocean territory,flagge britisches territorium im indischen ozean,bandera territorio británico del océano índico,drapeau territoire britannique de l’océan indien,旗 英領インド洋地域,깃발 영국령 인도양 지역,bandeira território britânico do oceano índico,bandiera territorio britannico dell’oceano indiano,پرچم قلمرو بریتانیا در اقیانوس هند,bendera wilayah inggris di samudra hindia,英属印度洋领地,флаг британская территория в индийском океане,bayrak britanya hint okyanusu toprakları,A9alim britania fl mo7it lhadi,علم الإقليم البريطاني في المحيط الهندي,
974,🇻🇬,flags,british virgin islands,flagge britische jungferninseln,bandera islas vírgenes británicas,drapeau îles vierges britanniques,旗 英領ヴァージン諸島,깃발 영국령 버진아일랜드,bandeira ilhas virgens britânicas,bandiera isole vergini britanniche,پرچم جزایر ویرجین بریتانیا,bendera kepulauan virgin britania raya,英属维尔京群岛,флаг виргинские о ва (великобритания),bayrak britanya virjin adaları,Jozor Virgin lbritania,علم جزر فيرجن البريطانية,
975,🇧🇳,flags,brunei,flagge brunei darussalam,bandera brunéi,drapeau brunei,旗 ブルネイ,깃발 브루나이,bandeira brunei,bandiera brunei,پرچم برونئی,bendera brunei,文莱,флаг бруней,bayrak brunei,Brunei,علم بروناي,
976,🇧🇬,flags,bulgaria,flagge bulgarien,bandera bulgaria,drapeau bulgarie,旗 ブルガリア,깃발 불가리아,bandeira bulgária,bandiera bulgaria,پرچم بلغارستان,bendera bulgaria,保加利亚,флаг болгария,bayrak bulgaristan,Bulgharia,علم بلغاريا,
977,🇧🇫,flags,burkina faso,flagge burkina faso,bandera burkina faso,drapeau burkina faso,旗 ブルキナファソ,깃발 부르키나파소,bandeira burquina faso,bandiera burkina faso,پرچم بورکینافاسو,bendera burkina faso,布基纳法索,флаг буркина фасо,bayrak burkina faso,Burkina Faso,علم بوركينا فاسو,
978,🇧🇮,flags,burundi,flagge burundi,bandera burundi,drapeau burundi,旗 ブルンジ,깃발 부룬디,bandeira burundi,bandiera burundi,پرچم بوروندی,bendera burundi,布隆迪,флаг бурунди,bayrak burundi,Burundi,علم بوروندي,
979,🇰🇭,flags,cambodia,flagge kambodscha,bandera camboya,drapeau cambodge,旗 カンボジア,깃발 캄보디아,bandeira camboja,bandiera cambogia,پرچم کامبوج,bendera kamboja,柬埔寨,флаг камбоджа,bayrak kamboçya,Cambodia,علم كمبوديا,
980,🇨🇲,flags,cameroon,flagge kamerun,bandera camerún,drapeau cameroun,旗 カメルーン,깃발 카메룬,bandeira camarões,bandiera camerun,پرچم کامرون,bendera kamerun,喀麦隆,флаг камерун,bayrak kamerun,Cameroun,علم الكاميرون,
981,🇨🇦,flags,canada,flagge kanada,bandera canadá,drapeau canada,旗 カナダ,깃발 캐나다,bandeira canadá,bandiera canada,پرچم کانادا,bendera kanada,加拿大,флаг канада,bayrak kanada,Canada,علم كندا,
982,🇮🇨,flags,canary islands,flagge kanarische inseln,bandera canarias,drapeau îles canaries,旗 カナリア諸島,깃발 카나리아 제도,bandeira ilhas canárias,bandiera isole canarie,پرچم جزایر قناری,bendera kepulauan canaria,加纳利群岛,флаг канарские о ва,bayrak kanarya adaları,Jozor Kanari,علم جزر الكناري,
983,🇨🇻,flags,cape verde,flagge cabo verde,bandera cabo verde,drapeau cap-vert,旗 カーボベルデ,깃발 카보베르데,bandeira cabo verde,bandiera capo verde,پرچم کیپ ورد,bendera tanjung verde,佛得角,флаг кабо верде,bayrak cabo verde,Cap Vert,علم الرأس الأخضر,
984,🇧🇶,flags,caribbean netherlands,flagge karibische niederlande,bandera caribe neerlandés,drapeau pays-bas caribéens,旗 オランダ領カリブ,깃발 네덜란드령 카리브,bandeira países baixos caribenhos,bandiera caraibi olandesi,پرچم جزایر کارائیب هلند,bendera belanda karibia,荷属加勒比区,флаг бонэйр синт эстатиус и саба,bayrak karayip hollandası,A9alim holandia f caraibes,علم هولندا الكاريبية,
985,🇰🇾,flags,cayman islands,flagge kaimaninseln,bandera islas caimán,drapeau îles caïmans,旗 ケイマン諸島,깃발 케이맨 제도,bandeira ilhas cayman,bandiera isole cayman,پرچم جزایر کِیمن,bendera kepulauan cayman,开曼群岛,флаг о ва кайман,bayrak cayman adaları,Jozor Cayman,علم جزر كايمان,
986,🇨🇫,flags,central african republic,flagge zentralafrikanische republik,bandera república centroafricana,drapeau république centrafricaine,旗 中央アフリカ共和国,깃발 중앙 아프리카 공화국,bandeira república centro-africana,bandiera repubblica centrafricana,پرچم جمهوری افریقای مرکزی,bendera republik afrika tengah,中非共和国,флаг центрально африканская республика,bayrak orta afrika cumhuriyeti,Jomhoriyat afri9iya lwosta,علم جمهورية أفريقيا الوسطى,
987,🇪🇦,flags,ceuta & melilla,flagge ceuta und melilla,bandera ceuta y melilla,drapeau ceuta et melilla,旗 セウタ・メリリャ,깃발 세우타 및 멜리야,bandeira ceuta e melilla,bandiera ceuta e melilla,پرچم سبته و ملیله,bendera ceuta dan melilla,休达及梅利利亚,флаг сеута и мелилья,bayrak ceuta ve melilla,Sebta w Melilia,علم سيوتا وميليلا,
988,🇹🇩,flags,chad,flagge tschad,bandera chad,drapeau tchad,旗 チャド,깃발 차드,bandeira chade,bandiera ciad,پرچم چاد,bendera chad,乍得,флаг чад,bayrak çad,Tchad,علم تشاد,
989,🇨🇱,flags,chile,flagge chile,bandera chile,drapeau chili,旗 チリ,깃발 칠레,bandeira chile,bandiera cile,پرچم شیلی,bendera cile,智利,флаг чили,bayrak şili,Chili,علم تشيلي,
990,🇨🇳,flags,china,flagge china,bandera china,drapeau chine,旗 中国,깃발 중국,bandeira china,bandiera cina,پرچم چین,bendera tiongkok,中国,флаг китай,bayrak çin,Chinwa,علم الصين,
991,🇨🇽,flags,christmas island,flagge weihnachtsinsel,bandera isla de navidad,drapeau île christmas,旗 クリスマス島,깃발 크리스마스섬,bandeira ilha christmas,bandiera isola christmas,پرچم جزیرهٔ کریسمس,bendera pulau natal,圣诞岛,флаг о в рождества,bayrak christmas adası,Jazirat Christmas,علم جزيرة كريسماس,
992,🇨🇵,flags,clipperton island,flagge clipperton-insel,bandera isla clipperton,drapeau île clipperton,旗 クリッパートン島,깃발 클리퍼턴섬,bandeira ilha de clipperton,bandiera isola di clipperton,پرچم جزایر کلیپرتون,bendera pulau clipperton,克利珀顿岛,флаг о в клиппертон,bayrak clipperton adası,Jazirat Clipperton,علم جزيرة كليبيرتون,
993,🇨🇨,flags,cocos (keeling) islands,flagge kokosinseln,bandera islas cocos,drapeau îles cocos,旗 ココス(キーリング)諸島,깃발 코코스 제도,bandeira ilhas cocos (keeling),bandiera isole cocos (keeling),پرچم جزایر کوکوس,bendera kepulauan cocos (keeling),科科斯(基林)群岛,флаг кокосовые о ва,bayrak cocos (keeling) adaları,Jozor Cocos (Keeling),علم جزر كوكوس (كيلينغ),
994,🇨🇴,flags,colombia,flagge kolumbien,bandera colombia,drapeau colombie,旗 コロンビア,깃발 콜롬비아,bandeira colômbia,bandiera colombia,پرچم کلمبیا,bendera kolombia,哥伦比亚,флаг колумбия,bayrak kolombiya,Colombia,علم كولومبيا,
995,🇰🇲,flags,comoros,flagge komoren,bandera comoras,drapeau comores,旗 コモロ,깃발 코모로,bandeira comores,bandiera comore,پرچم کومور,bendera komoro,科摩罗,флаг коморы,bayrak komorlar,Jozor 9omor,علم جزر القمر,
996,🇨🇬,flags,congo-brazzaville,flagge kongo-brazzaville,bandera congo,drapeau congo-brazzaville,旗 コンゴ共和国(ブラザビル),깃발 콩고-브라자빌,bandeira república do congo,bandiera congo-brazzaville,پرچم کنگو-برازویل,bendera kongo-brazzaville,刚果 布,флаг конго браззавиль,bayrak kongo-brazavil,Congo-Brazzaville,علم الكونغو-برازافيل,
997,🇨🇩,flags,congo-kinshasa,flagge kongo-kinshasa,bandera república democrática del congo,drapeau congo-kinshasa,旗 コンゴ民主共和国(キンシャサ),깃발 콩고-킨샤사,bandeira congo-kinshasa,bandiera congo-kinshasa,پرچم کنگو-کینشاسا,bendera kongo-kinshasa,刚果 金,флаг конго киншаса,bayrak kongo-kinşasa,Congo-Kinshasa,علم الكونغو-كينشاسا,
998,🇨🇰,flags,cook islands,flagge cookinseln,bandera islas cook,drapeau îles cook,旗 クック諸島,깃발 쿡 제도,bandeira ilhas cook,bandiera isole cook,پرچم جزایر کوک,bendera kepulauan cook,库克群岛,флаг о ва кука,bayrak cook adaları,Jozor Cook,علم جزر كوك,
999,🇨🇷,flags,costa rica,flagge costa rica,bandera costa rica,drapeau costa rica,旗 コスタリカ,깃발 코스타리카,bandeira costa rica,bandiera costa rica,پرچم کاستاریکا,bendera kosta rika,哥斯达黎加,флаг коста рика,bayrak kosta rika,Costa Rica,علم كوستاريكا,
1000,🇭🇷,flags,croatia,flagge kroatien,bandera croacia,drapeau croatie,旗 クロアチア,깃발 크로아티아,bandeira croácia,bandiera croazia,پرچم کرواسی,bendera kroasia,克罗地亚,флаг хорватия,bayrak hırvatistan,Croatia,علم كرواتيا,
1001,🇨🇺,flags,cuba,flagge kuba,bandera cuba,drapeau cuba,旗 キューバ,깃발 쿠바,bandeira cuba,bandiera cuba,پرچم کوبا,bendera kuba,古巴,флаг куба,bayrak küba,Cuba,علم كوبا,
1002,🇨🇼,flags,curaçao,flagge curaçao,bandera curazao,drapeau curaçao,旗 キュラソー,깃발 퀴라소,bandeira curaçao,bandiera curaçao,پرچم کوراسائو,bendera curaçao,库拉索,флаг кюрасао,bayrak curaçao,Curassao,علم كوراساو,
1003,🇨🇾,flags,cyprus,flagge zypern,bandera chipre,drapeau chypre,旗 キプロス,깃발 키프로스,bandeira chipre,bandiera cipro,پرچم قبرس,bendera siprus,塞浦路斯,флаг кипр,bayrak kıbrıs,9obros,علم قبرص,
1004,🇨🇿,flags,czechia,flagge tschechien,bandera chequia,drapeau tchéquie,旗 チェコ,깃발 체코,bandeira tchéquia,bandiera cechia,پرچم چک,bendera ceko,捷克,флаг чехия,bayrak çekya,Jomhoriyat tchek,علم التشيك,
1005,🇨🇮,flags,côte d’ivoire,flagge côte d’ivoire,bandera côte d’ivoire,drapeau côte d’ivoire,旗 コートジボワール,깃발 코트디부아르,bandeira costa do marfim,bandiera costa d’avorio,پرچم ساحل عاج,bendera côte d’ivoire,科特迪瓦,флаг кот д’ивуар,bayrak côte d’ivoire,Côte d’Ivoire,علم ساحل العاج,
1006,🇩🇰,flags,denmark,flagge dänemark,bandera dinamarca,drapeau danemark,旗 デンマーク,깃발 덴마크,bandeira dinamarca,bandiera danimarca,پرچم دانمارک,bendera denmark,丹麦,флаг дания,bayrak danimarka,Danmark,علم الدانمرك,
1007,🇩🇬,flags,diego garcia,flagge diego garcia,bandera diego garcía,drapeau diego garcia,旗 ディエゴガルシア島,깃발 디에고 가르시아,bandeira diego garcia,bandiera diego garcia,پرچم دیه گو گارسیا,bendera diego garcia,迪戈加西亚岛,флаг диего гарсия,bayrak diego garcia,Diego Garcia,علم دييغو غارسيا,
1008,🇩🇯,flags,djibouti,flagge dschibuti,bandera yibuti,drapeau djibouti,旗 ジブチ,깃발 지부티,bandeira djibuti,bandiera gibuti,پرچم جیبوتی,bendera jibuti,吉布提,флаг джибути,bayrak cibuti,Djibouti,علم جيبوتي,
1009,🇩🇲,flags,dominica,flagge dominica,bandera dominica,drapeau dominique,旗 ドミニカ国,깃발 도미니카,bandeira dominica,bandiera dominica,پرچم دومینیکا,bendera dominika,多米尼克,флаг доминика,bayrak dominika,Dominica,علم دومينيكا,
